,r,S1,S2,S3,S1_int,S2_int,S3_int
0,-5.0,0.0062959076573893494,-0.004669908047544111,0.0005079879569511765,8355.838429012405,8251.603236053097,8384.001357539999
1,-4.9,0.007005462531037057,-0.004762494949615454,0.002137828697358006,8355.838429012405,8251.603236053097,8384.001357539999
2,-4.8,0.007701958464276764,-0.004740197818440769,0.0038777574334015294,8355.838429012405,8251.603236053097,8384.001357539999
3,-4.7,0.008396650514781168,-0.004575095803024627,0.005728411312866384,8355.838429012405,8251.603236053097,8384.001357539999
4,-4.6,0.009105731253714007,-0.004236097052324404,0.007691214615277301,8355.838429012405,8251.603236053097,8384.001357539999
5,-4.5,0.009850920829611965,-0.00368843496055505,0.009769114261748844,8355.838429012405,8251.603236053097,8384.001357539999
6,-4.4,0.010660247120685936,-0.002893014605110182,0.011967498085889528,8355.838429012405,8251.603236053097,8384.001357539999
7,-4.3,0.011569164134999317,-0.00180556604088666,0.014295367056106427,8355.838429012405,8251.603236053097,8384.001357539999
8,-4.2,0.012622168240781427,-0.00037544644344840764,0.016766865732973806,8355.838429012405,8251.603236053097,8384.001357539999
9,-4.1,0.013875488508683663,0.0014561486653777414,0.019403430301476326,8355.838429012405,8251.603236053097,8384.001357539999
10,-4.0,0.015401462252895367,0.0037592772607600486,0.022237278254675998,8355.838429012405,8251.603236053097,8384.001357539999
11,-3.9,0.017299136352819433,0.006622644626406562,0.02531968399948742,8355.838429012405,8251.603236053097,8384.001357539999
12,-3.8,0.019696624220589706,0.01015550967043562,0.028723172595502177,8355.838429012405,8251.603236053097,8384.001357539999
13,-3.7,0.02273280228667403,0.014474792394014816,0.03252758014431856,8355.838429012405,8251.603236053097,8384.001357539999
14,-3.6,0.02655416217924148,0.019702614159493072,0.036817900354948606,8355.838429012405,8251.603236053097,8384.001357539999
15,-3.5,0.031314456369634654,0.025965714957007432,0.04168469117582579,8355.838429012405,8251.603236053097,8384.001357539999
16,-3.4,0.037174091262296094,0.033394759067942335,0.047224778901587036,8355.838429012405,8251.603236053097,8384.001357539999
17,-3.3,0.0442989202340757,0.04212321078781673,0.053542398620513756,8355.838429012405,8251.603236053097,8384.001357539999
18,-3.2,0.05285853112503267,0.05228588920386587,0.06075097230259704,8355.838429012405,8251.603236053097,8384.001357539999
19,-3.1,0.0630235975942312,0.06401699240284763,0.06897581253057031,8355.838429012405,8251.603236053097,8384.001357539999
20,-3.0,0.07496189470054772,0.07744736245888827,0.0783587649262561,8355.838429012405,8251.603236053097,8384.001357539999
